1,Score after human,2,Score after Ai
"[['-2', '2'], [-2, 2]]",Win,"[[4, -2], [4, -1]]",Win
"[['-2', '1'], [-2, 1]]",Win,"[[4, -4], [4, -3]]",Win
"[['-1', '2'], [-1, 2]]",Win,"[[3, 0], [3, 1]]",Win
"[['-1', '1'], [-1, 1]]",Win,"[[3, -2], [3, -1]]",Win
"[['0', '1'], [0, 1]]",Draw,"[[3, -4], [3, -3]]",Win
"[['0', '0'], [0, 0]]",Draw,"[[-4, 0], [-4, 1]]",Win
"[['-1', '0'], [-1, 0]]",Win,"[[2, 1], [2, 2]]",Win
"[['1', '1'], [1, 1]]",Win,"[[2, -1], [2, 0]]",Win
"[['0', '2'], [0, 2]]",Win,"[[2, -3], [2, -2]]",Win
"[['1', '0'], [1, 0]]",Win,"[[1, 3], [2, -4]]",Win
"[['1', '-1'], [1, -1]]",Win,"[[1, -2], [1, 2]]",Win
"[['0', '-1'], [0, -1]]",Win,"[[0, 3], [1, -3]]",Win
"[['-2', '0'], [-2, 0]]",Win,"[[-1, 4], [0, -2]]",Win
"[['-1', '-1'], [-1, -1]]",Win,"[[-2, 3], [-2, 4]]",Win
"[['-3', '2'], [-3, 2]]",Win,"[[-3, 1], [-2, -1]]",Win
